sic,spider,Stable End Date,Stable Last Price,LLM Price Date,LLM Price,price_frequency,status,specification
US5476,eia,2024-11-25,68.65,2024-12-09,68.65,daily,"Needs Attention: Same Price, Different Dates","WTI Crude Oil, Spot Price, FOB, Cushing, OK, WTI Spot Price FOB (Dollars per Barrel), $/BBL, F.O.B."
US5475,eia,2024-11-25,0.764,2024-12-09,0.764,daily,"Needs Attention: Same Price, Different Dates","Propane, Spot Price, FOB, Mont Belvieu, TX, Propane Spot Price FOB (Dollars per Gallon), $/GAL, F.O.B."
US5474,eia,2024-11-25,2.03,2024-12-09,2.03,daily,"Needs Attention: Same Price, Different Dates","Conventional Regular Gasoline, Spot Price, FOB, New York Harbor, Conventional Gasoline Regular Spot Price FOB (Dollars per Gallon), $/GAL, F.O.B."
US5473,eia,2024-11-25,2.105,2024-12-09,2.105,daily,"Needs Attention: Same Price, Different Dates","No 2 Fuel Oil / Heating Oil, Spot Price, FOB, New York Harbor, No. 2 Heating Oil Spot Price FOB (Dollars per Gallon), $/GAL, F.O.B."
US5472,eia,2024-11-25,2.16,2024-12-09,2.16,daily,"Needs Attention: Same Price, Different Dates","No 2 Diesel Low Sulfur (0-15 ppm), Spot Price, New York Harbor, Ultra-Low Sulfur No 2 Diesel Spot Price (Dollars per Gallon), $/GAL, Delivered New York Harbor"
US5471,eia,2024-11-25,1.995,2024-12-09,1.995,daily,"Needs Attention: Same Price, Different Dates","Reformulated Regular Gasoline, Spot Price, FOB, Los Angeles, Reformulated RBOB Regular Gasoline Spot Price (Dollars per Gallon), $/GAL, F.O.B."
US5470,eia,2024-11-25,2.105,2024-12-09,2.105,daily,"Needs Attention: Same Price, Different Dates","Carb Diesel, Spot Price, FOB, Los Angeles, CA, Ultra-Low Sulfur CARB Diesel Spot Price (Dollars per Gallon), $/GAL, F.O.B."
US5469,eia,2024-11-25,1.895,2024-12-09,1.895,daily,"Needs Attention: Same Price, Different Dates","Conventional Regular Gasoline, Spot Price, FOB, U.S. Gulf Coast, Conventional Gasoline Regular Spot Price FOB (Dollars per Gallon), $/GAL, F.O.B."
US5468,eia,2024-11-25,2.035,2024-12-09,2.035,daily,"Needs Attention: Same Price, Different Dates","Kerosene-Type Jet Fuel, Spot Price, FOB, U.S. Gulf Coast Kerosene-Type Jet Fuel Spot Price FOB (Dollars per Gallon), $/GAL, F.O.B."
US5467,eia,2024-11-25,2.091,2024-12-09,2.091,daily,"Needs Attention: Same Price, Different Dates","No 2 Diesel Low Sulfur (0-15 ppm), Spot Price, FOB, U.S. Gulf Coast, Ultra-Low Sulfur No 2 Diesel Spot Price (Dollars per Gallon), $/GAL, F.O.B."
US1089,usda_csv,2024-11-27,277.13,2024-12-13,277.13,weekly,"Needs Attention: Same Price, Different Dates","Select Cutout Value, Delivered U.S."
US150,usda_datamart,2024-11-27,216.25,2024-12-17,216.25,daily,"Needs Attention: Same Price, Different Dates","St Louis Spareribs VAC FZN, Sparerib Cuts, FOB Plant Delivered US"
US386,the_jacobsen,2024-11-27,6.625,2024-12-10,6.625,daily,"Needs Attention: Same Price, Different Dates","Corn, Organic, Feed, Delivered Midwest"
US166,usda_datamart,2024-11-27,106.05,2024-12-17,106.05,daily,"Needs Attention: Same Price, Different Dates","Hind Feet, Poly, FZN, Variety Cuts, FOB Plant Delivered US"
US5106,vesper,2024-11-27,4.87,2024-12-11,4.87,weekly,"Needs Attention: Same Price, Different Dates","WPC 80, Instant, lb, USD, Delivered U.S."
US3746,usda_datamart,2024-11-27,320.25,2024-12-17,320.25,daily,"Needs Attention: Same Price, Different Dates","Round, outside round (171B 3), Select cuts, FOB Plant Delivered US"
US378,the_jacobsen,2024-11-27,44.0,2024-12-17,44.0,daily,"Needs Attention: Same Price, Different Dates","Bleachable Fancy Tallow, Packer, Delivered Chicago"
US5098,sosland,2024-11-27,31.200000000000003,2024-12-13,31.200000000000003,weekly,"Needs Attention: Same Price, Different Dates","Soy flour, Defatted, f.o.b. Midwest plant, $ per cwt, FOB Plant"
US5089,sosland,2024-11-27,15.55,2024-12-13,15.55,weekly,"Needs Attention: Same Price, Different Dates","Bakery flour, Bakers standard patent, Delivered Kansas City, Delivered Kansas City"
US381,the_jacobsen,2024-11-27,43.0,2024-12-17,43.0,daily,"Needs Attention: Same Price, Different Dates","Bleachable Fancy Tallow, Renderer, Delivered Chicago"
US4944,emi,2024-11-27,161.625,2024-12-17,161.625,daily,"Needs Attention: Same Price, Different Dates","Boneless Thighs, Frozen, Delivered U.S."
US384,the_jacobsen,2024-11-27,56.0,2024-12-17,56.0,daily,"Needs Attention: Same Price, Different Dates","Lard, Delivered Chicago"
US453,urner_barry_api,2024-11-27,1.56,2024-12-17,1.56,daily,"Needs Attention: Same Price, Different Dates","Jumbo Boneless/Skinless Breasts, Tender Out, East"
US452,urner_barry_api,2024-11-27,1.73,2024-12-17,1.73,daily,"Needs Attention: Same Price, Different Dates","East Jumbo Whole Wings, Warehouse Delivered"
US5104,vesper,2024-11-27,1.38,2024-12-11,1.38,weekly,"Needs Attention: Same Price, Different Dates","Skimmed Milk Powder, Food, lb, USD, Delivered U.S."
US5100,nan,2024-11-27,25.25,,,daily,Bundle,"Bundle - Refined Glycerine 99.7% USP (The Jacobsen Biodiesel) - Crude 80% Basis Glycerine (The Jacobsen Biodiesel) (US4425 - US4423), Delivered US Plant"
US4971,emi,2024-11-26,18.5,2024-12-17,0.0,daily,All Good,"Necks, Fresh, Delivered U.S."
